opinion_name,reference_name,opinion_id,reference_id
Test,A Bill for Proportioning Crimes and Punishments,000_1,2159049819335703096889904200956487190455707880001517487954774595538510526578028008036119250285624638830667843476648311939823773855519191861144611512018250
Test,Convicting the Innocent: Where Criminal Prosecutions Go Wrong,000_1,170927495971351272174553955010922153348525266649251995509696057559282045851595599764029297252456034728857563582343266402422241020718245446252071565642038501358702366860279651459293511
Test,TITLE XX Generic Journal YYYY,000_1,343728587886363155360104282209629780410063372437908686189192804825784603164743803612252286054212
Test,The Electric Chair: An Unnatural American History,000_1,2159051423914457963665276790876712512370232191655890006823388179989140020565307129066762893472454783122717559156740093696844699798624593434788243993358914
Test,The Death Penalty,000_1,72787116126316992814754847493808983818409851707407307248546517498148577602
Test,"Midazolam: Pharmacology and Uses, 62 Anesthesiology",000_1,2158232277094855047272530561068516582318557620353242370719423670577250016552212359588629361963322346238505786380689505703860447633992349734305990180234578
Test,Report and Recommendations on the Administration of the Death Penalty in California,000_1,16382463148839057300294686598043368112115521709744085899672974044675975106105887627177926113378347007189569445246410928163752622389488098318522456630471832608091868846713403016093171498273169481039506189675709819761511048482459212805450
Test,Report of the Council to the Membership on the Matter of the Death Penalty,000_1,807794339385669414943462114146558010491201284290272556895838590309387948276247587040607016277748938624326948574800632268703904126240118861947970277907910394675733988260371026120973420743862960514879016001
Test,A Wild Justice: The Death and Resurrection of Capital Punishment in America,000_1,887674624718121161992584949532094382447853800308960695473622594486392018209838672108953481843061372613848046160052193302516602844243460143439151809532564873178316813088457060126846707020472446153945778672902951821645
Test,The Death Penalty in 2014: Year End Report,000_1,1785243246377094434171980910979041165634989505302240892255887354429386765269933422933245048223154476457849471742773569426138157124
Test,A Bill for Proportioning Crimes and Punishments,000_1,2159049819335703096889904200956487190455707880001517487954774595538510526578028008036119250285624638830667843476648311939823773855519191861144611512018250
Test,A Living Death: Life Without Parole for Nonviolent Offenses,000_1,155487136054701437043199332101565329862371513476766356796826648522132118060724123351725894964221271011511674043256840948049938265860691691094585079800340776586956669469505
Test,Mercy on Trial: What It Means To Stop an Execution,000_1,8430569748712036599916421875710327022643834224601047528226224460347527166467393016330550582658341555564967292913224432326476120364515313150127512904019
Test,Deterrence and the Death Penalty,000_1,24768181330806820026596412233171107396738743675199671285038036904945618327083925296991871725177567783253397827395
Test,An Expendable Man,000_1,1110748563730831651412834702708024179265929225206980598415314531935301
Test,White Lies,000_1,1010031752220051028621390690879057770668180118692339016004
Test,Report to the Senate and House Committees on the Judiciary: Death Penalty Sentencing,000_1,975733864183915352499310212532776623050880532429445140422753424096238619930556586387432132259427924221271163568895396591475443970698505400188907624580130365592030786809226879630977372759643531987009162217569328141911653167874375
Test,"Guardian, May",000_1,16945464159355080278854789312923560104325416654984750111893055555
Test,"Rate of False Conviction of Criminal Defendants Who Are Sentenced to Death, 111 Proceeding of the N",000_1,85030398892333596235684800908379518352890344050388278168800237679216402925184812921748416397201450114540850027906525635713300947628076171127621768275426292040310805725606276746917336388865823028167264890179739802955250716028737291366273371050935596011789801994827952706
Test,Convicting the Innocent: Where Criminal Prosecutions Go Wrong,000_1,170927495971351272174553955010922153348525266649251995509696057559282045851595599764029297252456034728857563582343266402422241020718245446252071565642038501358702366860279651459293511
Test,App. A,000_1,60219531585622094081623154205934806911992978105680
Test,Death Sentences and Executions 2013,000_1,116997701394569258266722099044250790906347550512764868101227618462381682899283838141411620456333686681790810062004541236856329365384777
Test,"Justice Lewis F. Powell, Jr.",000_1,1476158119096134996845452670602300234772006683061779958661413680719987775078093347120846838731589598733642
Test,ABA Standards for Criminal Justice: Treatment of Prisoners,000_1,667685531138090909634680063543745037580474179021157824684128626217488110614613784435498863744129534911976578695146619735712208565576931383203584048200298933035718902339182402695022
Test,The Death Penalty in America: Current Controversies,000_1,9271297867893835800532781154107851177201309395986553051004013370041975322776517794400417638525276913542447915115322363990015372197227143691853976812136261467729774
Test,Report and Recommendations on the Administration of the Death Penalty in California,000_1,2772409612294745510554935948336224795920809408434238948793632984673455190927177275112937520415075671314102725334279078646582513906527543274395424676136357236743299005925992725560937359254445711168401694200560289809889620005608499904305545672567839206967606038030865546711022578017904626751074739164857032176812834549578044228433260784559918286409242252359262531
Test,"Guardian, May",000_1,975823135506686715480633349829619424443166358319890537668251674694132438053946962920388536293191036630179374682142441500387996298314092395575561183468633668863376973956745858128930759249372935467466166018964361514237919700656201
Test,Enhancement of GABAergic Activity: Neuropharmacological Effects of Benzodiazepines and Therapeutic ,000_1,85006215487893180562098219915032663846881308158802026952920224268081703450408051912887637887843547067217111274370573789415412110329545058856273030290373075869790224283898499061037025930387832292329860578359836651957665511996632580972008632501467514792081049700186284371
Test,Midazolam: Pharmacology and Uses,000_1,378040946943659180068205255587276145357777698292823925561134517701829942735236246066419621635605645378348370
Test,Uses and Abuses of Empirical Evidence in the Death Penalty Debate,000_1,734197622503119945725946414670727135796713737206791647907772559080070123340980561376902342845339587754348932522807189771718811718956245840543029859679313986410540975984217963223806977441165124
Test,Deterrence and the Death Penalty: The Views of the Experts,000_1,10192933675943355295415674038269037128857874326463339118427188706634730005152343857234290946536956750664199369633478793403874895152522762181208768331822581958238109253725610322
Test,"Volunteers for Execution: Directions for Further Research into Grief, Culpability, and Legal Struct",000_1,1427253830703737718749081914806761157801999086213952169671881002902896919303190792429598789803161975433769570197788610281225692673782714208050998892626557509400804973562123299778047905031219250313412659506217257738504432039431749274736901610224461717014559082298308559241572178
Test,Psychiatric Effects of Solitary Confinement,000_1,1963081051674885095784364500894753164790207722080245429096490573713923027631841292266763084518212896918429082672783225905727728172135398601287
Test,The Racial Geography of the Federal Death Penalty,000_1,32941278326557341067332244217716094524909665485390834134002835182271256241339044453530558915121165710624526444734728591890657186081689573149213486915
Test,Counsel for the Poor: The Death Sentence Not for the Worst Crime but for the Worst Lawyer,000_1,18005940923431630088042679498815391663213794522655355936509297556972145906347986840918500242810502513107175780848267200479278911856465448490034170294519039681790205269912090045135227501386049942177518459091220864799080023725687604307817820309779010
Test,"Death Eligibility in Colorado: Many Are Called, Few Are Chosen",000_1,43765737999803687765279744688598627881614048668161682330355727494204389521256521886585518674116966191172825433843002205652519030224409617670199090538868124555365262295369916415567094093
Test,Innocents Convicted: An Empirically Justified Factual Wrongful Conviction Rate,000_1,3812893544433138912276503556809792806383086613202544773634250150190756351706237455553455860013981110184774179406931950322797137455571335472061021511063974787112422725291253863315454476586188978896761850494331787063885930129746
Test,Rate of False Conviction of Criminal Defendants Who Are Sentenced to Death,000_1,52914547138961907510849748350613657760302454401223074725650902645463761893997116070069777544084720416821924526816088267690698273020887811431955178406789640273729576501286092617094562743661530450461482581324354
Test,Does Capital Punishment Have a Deterrent Effect? New Evidence from Postmoratorium Panel Data,000_1,1297337436961551822079242094388506306973534572437927171018743848571720123455684036158035432343673228553389237773318713331262977455880552088407625327193799126370875379928528140969570584563559096442078985235933395535513638710704998194928701887676353663687125443962180
Test,"State Executions, Deterrence, and the Incidence of Murder",000_1,2608887631078206174124735849541267293277010317446278822837611857470244510344572867284741536752011579763316886568674264077603125222353232828824429366149120184941447422957260204378
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Pleas of the Crown,000_1,1227101410015188229900975784091369853902710908464115789755424251427881400761344328
Test_93, Trustees,000_1,1015034496001047368916812634657584348684585522791239674184
Test_93, Trustees,000_1,1015034496001047368916812634657584348684585522791239674184
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Pleas of the Crown,000_1,1227101410015188229900975784091369853902710908464115789755424251427881400761344328
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Pleas of the Crown,000_1,1227101410015188229900975784091369853902710908464115789755424251427881400761344328
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Practice of Courts of King's Bench and Common Pleas,000_1,36374690808759092452390445825167419900723737860578570748144086790623804327145215866387287240594949014864109507865133292341554025185257740882043125305897275124052
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Commentaries,000_1,1227101410015188229900975904964710946328523046809809789856648186245210337127263298
Test_93, Law of Torts,000_1,285706811122407258930843301677328617094772878099782352235090443437567811
Test_93,Separation of Church and State,000_1,22526588392021336775488682765971696038065831679233353804210702120771245042383276952945124414269321027
Test_93,"Property Assessment and Exemptions: They Need Reform, Table Cl",000_1,170960296186237296775981499109968855811888207876646738766520480807244854905147626424984152967684910329349738158061672453688404151719971619537900944061270242984136369803741811276084307
Test_93,Rental Fee Recommendations,000_1,88052826616695566875073803804282808616338363860895652650219314694405040211985373046144444622140738
Test_93,American Dictionary of the English Language,000_1,7669744802663251887708529728239215630608956323257227853666329487390691172325237531372839139577826645232421349151093005788413797405527532887
Test_93,A Critical Pronouncing Dictionary,000_1,24765906430891184953118273971816400812903354794730548485747443326573396005881594297034944704474313401206007685463
Test_93,A General Dictionary of the English Language,000_1,502264438263697174324010873601340357533241592518762307039910239439544059939727623751437849501038674976590175593214878171460180077581549005269075
Test_93,A New and Complete LawDictionary,000_1,415502653798677073122546310042340886408682389467677005101358684639150641489167694688059787184589934403971210422365615427
Test_93,A New English Dictionary,000_1,5244864518111877412548468483727792740231439837699873242739961214089361914962574686049953099
Test_93,A Critical Pronouncing Dictionary,000_1,24765906430891184953118273971816400812903354794730548485747443326573396005881594297034944704474313401206007685463
Test_93,A General Dictionary of the English Language,000_1,502264438263697174324010873601340357533241592518762307039910239439544059939727623751437849501038674976590175593214878171460180077581549005269075
Test_93,English Navigation Laws,000_1,20501373531056731664756640681108811171967034043717059538809377452160357087181890565333320
Test_93,Guidelines Manual,000_1,312619329530537613721955584797702452083187464251940712230824216083278554354540179267
Test_93,The Buffalo Creek Disaster,000_1,1343198060778716888902900587356140574338406460060700747851837192215317616013528695450548663379
Test_93,The Snake River,000_1,1110541655988913807851218892518321251113221335736915816141745317241168
Test_93,Reinsurance Law,000_1,1110646968280582366902551495891407213939441553695512560162897856329026
Test_93,Reinsurance Law,000_1,1110646968280582366902551495891407213939441553695512560162897856329026
Test_93,Securities Regulation,000_1,4769734792776873001765525567770448238260124950578882069115866626363307238584140
Test_93,Separation of Church and State,000_1,22526588392021336775488682765971696038065831679233353804210702120771245042383276952945124414269321027
Test_93,Law of Torts,000_1,66187139196048252373937630768934986365080989972878230322900803
Test_93,"Verbatim Reporting Comes of Age, 56 Judicature",000_1,32925755372638536592701590461320728417774710813621921715377168516963567093825265987923186528282730401031930983007241630376791394696809066736477561170
Test_93,Onus Probandi,000_1,16953549262453906491934212423909278664005320249072939814397501762
Test_93,Handbook of Federal Indian Law,000_1,5768438522452905824651277975410603135678272506743547342466133365504376925532501657441302182539773374275
